File_Name,Seed,InitOF,FinalOF,DiffOF,Time,Iterations_Diff
c101_21_25.txt,123,31074.159876318256,27149.46758085723,3924.6922954610272,0.7938656806945801,"[0.0, 3924.6922954610272, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c101_21_25.txt,123,31281.988247544446,18791.58258833984,12490.405659204607,0.8552007675170898,"[0.0, 3812.113871751426, 0.0, 0.0, 0.0, 0.0, 5221.171534580568, 0.0, 3457.1202528726135, 0.0]"
c101_21_25.txt,123,30721.869720535273,28895.77348098562,1826.0962395496535,1.3152391910552979,"[0.0, 0.0, 0.0, 1826.0962395496535, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c101_21_25.txt,123,29856.480703334062,26363.332160540194,3493.148542793868,0.8251593112945557,"[0.0, 0.0, 0.0, 3493.148542793868, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c101_21_25.txt,123,33235.218458223244,25867.57164000986,7367.646818213383,1.0325732231140137,"[0.0, 7367.646818213383, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c101_21_25.txt,123,31054.977545600865,26464.180393889877,4590.797151710987,1.6583468914031982,"[4590.797151710987, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c101_21_25.txt,123,29907.499093407034,19989.001857324427,9918.497236082607,0.8466846942901611,"[6305.955639615229, 1948.6360398414763, 0.0, 0.0, 0.0, 0.0, 1663.660059631733, 0.24549699416820658, 0.0, 0.0]"
c101_21_25.txt,123,33717.90071853598,25307.193852179666,8410.706866356315,0.86466383934021,"[0.0, 0.0, 0.0, 6132.127247423457, 0.0, 0.0, 0.0, 2278.5796189328576, 0.0, 0.0]"
c101_21_25.txt,123,30289.41334478978,25016.99025422545,5272.423090564331,1.059539794921875,"[5272.423090564331, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c101_21_25.txt,123,31597.099924686143,23578.68989827429,8018.410026411853,0.7777237892150879,"[0.0, 0.0, 8018.410026411853, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c101_21_25.txt,123,33554.52846141093,26381.15964597195,7173.368815438982,0.859210729598999,"[7173.368815438982, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c101_21_25.txt,123,29867.340045216813,18752.739826425994,11114.60021879082,0.8421852588653564,"[0.0, 0.0, 6732.589474735356, 0.0, 0.0, 0.0, 3156.5138061064063, 0.0, 1225.4969379490576, 0.0]"
c101_21_25.txt,123,31323.523506346726,26626.214650479604,4697.3088558671225,1.0449259281158447,"[0.0, 0.0, 0.0, 4697.3088558671225, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c101_21_25.txt,123,32220.340850843935,27471.316510718905,4749.02434012503,0.8201115131378174,"[4749.02434012503, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c101_21_25.txt,123,31929.622303598928,24922.772535846354,7006.849767752574,0.9904639720916748,"[0.0, 0.0, 7006.849767752574, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c101_21_25.txt,123,31343.96212854064,24445.182764213827,6898.779364326812,0.8087096214294434,"[0.0, 6898.779364326812, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c101_21_25.txt,123,29818.99963821596,23153.017902036245,6665.981736179714,0.7923629283905029,"[0.0, 0.0, 0.0, 6665.981736179714, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c101_21_25.txt,123,29672.675704358113,22455.48536336774,7217.190340990372,0.8307747840881348,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2972.4767390691377, 0.0, 4244.713601921234, 0.0]"
c101_21_25.txt,123,30832.473107696223,30832.473107696223,0.0,0.842780351638794,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c101_21_25.txt,123,32596.554723672496,28417.579150540456,4178.97557313204,0.821638822555542,"[0.0, 0.0, 0.0, 0.0, 0.0, 4178.97557313204, 0.0, 0.0, 0.0, 0.0]"
c101_21_50.txt,123,54511.083760041554,46421.396184740486,8089.687575301068,2.4278368949890137,"[0.0, 0.0, 0.0, 0.0, 0.0, 8089.687575301068, 0.0, 0.0, 0.0, 0.0]"
c101_21_50.txt,123,53355.975233123405,45247.72706472034,8108.2481684030645,2.4450745582580566,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8108.2481684030645, 0.0]"
c101_21_50.txt,123,53156.22240583112,53156.22240583112,0.0,2.3846302032470703,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c101_21_50.txt,123,54371.9783557962,47175.8027781564,7196.175577639799,2.549619197845459,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7196.175577639799, 0.0, 0.0, 0.0]"
c101_21_50.txt,123,54608.84970765298,54608.84970765298,0.0,2.373600959777832,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c101_21_50.txt,123,53133.96503665922,53133.96503665922,0.0,2.365821361541748,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c101_21_50.txt,123,52231.21124416419,52231.21124416419,0.0,2.445164918899536,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c101_21_50.txt,123,53290.243918632244,43858.92199861566,9431.321920016584,2.501452684402466,"[2426.929950955324, 0.0, 4330.463418079351, 0.0, 0.0, 0.0, 2673.928550981909, 0.0, 0.0, 0.0]"
c101_21_50.txt,123,53334.770932123625,47698.233105271196,5636.537826852429,2.460477590560913,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5636.537826852429, 0.0, 0.0]"
