File_Name,Seed,InitOF,FinalOF,DiffOF,Time,Iterations_Diff
c101_21_25.txt,123,30800.13652265342,26123.57927200631,4676.557250647111,0.9077045917510986,"[0.0, 4676.557250647111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c101_21_25.txt,123,33622.81847015774,25584.304705144023,8038.5137650137185,1.0689198970794678,"[0.0, 4776.9499110305405, 922.5164016107774, 0.0, 0.0, 0.0, 2339.0474523724006, 0.0, 0.0, 0.0]"
c101_21_25.txt,123,31546.989368497343,24124.371254799626,7422.6181136977175,0.9092671871185303,"[0.0, 4771.399330555796, 0.0, 0.0, 2651.2187831419214, 0.0, 0.0, 0.0, 0.0, 0.0]"
c101_21_25.txt,123,30829.750623848606,29475.007553406464,1354.7430704421422,0.9997961521148682,"[1354.7430704421422, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c101_21_25.txt,123,32462.19555288393,25017.400865149586,7444.794687734346,0.9895262718200684,"[7444.794687734346, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c101_21_25.txt,123,30921.72259850328,30921.72259850328,0.0,0.9088728427886963,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c101_21_25.txt,123,31044.403238739484,26354.558338440642,4689.844900298842,0.96248459815979,"[0.0, 4689.844900298842, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c101_21_25.txt,123,30125.97358514236,30125.97358514236,0.0,0.9541776180267334,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c101_21_25.txt,123,31202.16069117847,26531.827478817293,4670.333212361176,1.1702051162719727,"[4670.333212361176, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c101_21_25.txt,123,29862.255212938224,28678.95181396922,1183.3033989690048,1.4433982372283936,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1183.3033989690048, 0.0]"
c101_21_25.txt,123,32417.071670098936,27615.363121573373,4801.708548525563,0.9410312175750732,"[4801.708548525563, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c101_21_25.txt,123,32496.15714444827,27048.10266321594,5448.054481232328,0.8887038230895996,"[0.0, 5448.054481232328, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c101_21_25.txt,123,30934.60822149628,23986.522878258762,6948.085343237519,0.8888599872589111,"[6948.085343237519, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c101_21_25.txt,123,29921.179351050665,25770.00600315224,4151.173347898424,1.1722290515899658,"[4151.173347898424, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c101_21_25.txt,123,31176.7405013965,23093.378477735503,8083.362023660997,1.1019535064697266,"[4767.064410844367, 3316.29761281663, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c101_21_25.txt,123,33517.34109493346,20128.0104632083,13389.330631725159,0.9831845760345459,"[0.0, 4885.017826557232, 0.0, 0.0, 0.0, 7660.993839708055, 0.0, 843.3189654598718, 0.0, 0.0]"
c101_21_25.txt,123,32093.970339217325,24000.59835102879,8093.371988188534,1.1582446098327637,"[0.0, 4723.654477630316, 3369.7175105582173, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c101_21_25.txt,123,32101.255593262642,27367.265106507075,4733.990486755567,0.902400016784668,"[0.0, 4733.990486755567, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c101_21_50.txt,123,51993.12434242835,51993.12434242835,0.0,2.519160032272339,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c101_21_50.txt,123,52175.24434530655,46636.50708936978,5538.737255936772,2.6690821647644043,"[2102.837664590603, 3435.8995913461695, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c101_21_50.txt,123,54196.609975976586,54196.609975976586,0.0,2.47560977935791,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c101_21_50.txt,123,53090.66143721079,50614.63262653873,2476.0288106720545,2.536503791809082,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2476.0288106720545, 0.0]"
c101_21_50.txt,123,54804.57713762947,47308.168162792565,7496.408974836908,2.5327649116516113,"[0.0, 7496.408974836908, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c101_21_50.txt,123,55568.52772642467,55568.52772642467,0.0,2.49580454826355,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c101_21_50.txt,123,54238.257761850706,46574.665255951135,7663.592505899571,2.4903080463409424,"[0.0, 5279.190601776332, 0.0, 2384.4019041232386, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c101_21_50.txt,123,54272.38491791177,54272.38491791177,0.0,2.4376909732818604,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c101_21_50.txt,123,55742.4020539174,50859.2992352501,4883.102818667299,3.8214030265808105,"[4883.102818667299, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c101_21_50.txt,123,54421.5983399335,50029.59283258599,4392.005507347509,2.4714040756225586,"[0.0, 4392.005507347509, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c102_21_100.txt,123,82683.55470170603,82683.55470170603,0.0,8.58249306678772,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c102_21_100.txt,123,81182.36689283836,76472.6613907721,4709.705502066252,8.916736841201782,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4709.705502066252, 0.0, 0.0]"
c102_21_100.txt,123,84421.66639329071,79249.41050750134,5172.255885789375,9.154433727264404,"[684.2529671595694, 932.138523015863, 0.0, 0.0, 0.0, 3555.864395613942, 0.0, 0.0, 0.0, 0.0]"
c102_21_100.txt,123,84567.11490536718,80843.61375038952,3723.501154977668,8.593232154846191,"[3723.501154977668, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c102_21_100.txt,123,84526.03763706084,76940.20058372703,7585.837053333817,8.700808763504028,"[4839.527991119234, 2746.309062214583, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c102_21_100.txt,123,80247.2445613526,69812.19863799497,10435.04592335764,8.561161518096924,"[1446.8830037843, 0.0, 0.0, 8988.16291957334, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c102_21_100.txt,123,86672.34924573854,75721.47384536183,10950.87540037671,8.857587575912476,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6033.636152260588, 1435.5808119765425, 3481.65843613958, 0.0]"
c102_21_100.txt,123,83760.53535350176,75110.93436149403,8649.600992007734,8.71242070198059,"[742.0643395747902, 6098.535022303287, 0.0, 0.0, 0.0, 1809.0016301296564, 0.0, 0.0, 0.0, 0.0]"
c102_21_100.txt,123,84802.53658508962,84802.53658508962,0.0,8.418158531188965,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c102_21_100.txt,123,83426.64256948217,75085.5821873828,8341.060382099371,8.56529951095581,"[4787.256980811901, 0.0, 3553.8034012874705, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c102_21_25.txt,123,27370.503790669467,19069.91060279813,8300.593187871338,0.967944860458374,"[3304.486823577092, 0.0, 4786.818736549772, 0.0, 0.0, 0.16181432588564348, 0.0, 5.216247234697221, 203.909566183891, 0.0]"
