File_Name,Seed,DiffOF_Original,Time_Original,DiffOF_Binary,Time_Binary,Diff_3Way,Time_3Way,DiffOF_4Way,Time_4Way
c101_21_25.txt,123,3924.692295,0.793865681,4591.780147,1.181537151,6689.244026,0.913207054,4676.557251,0.907704592
c101_21_25.txt,123,12490.40566,0.855200768,5963.19072,0.909458876,3732.932023,0.94317174,8038.513765,1.068919897
c101_21_25.txt,123,1826.09624,1.315239191,12279.30133,0.978050232,11528.2478,0.851186037,7422.618114,0.909267187
c101_21_25.txt,123,3493.148543,0.825159311,3983.870539,0.89067626,4445.713021,0.880531311,1354.74307,0.999796152
c101_21_25.txt,123,7367.646818,1.032573223,8159.320194,0.901209593,8454.169379,0.977170467,7444.794688,0.989526272
c101_21_25.txt,123,4590.797152,1.658346891,5796.323398,0.94528079,4724.307611,0.875531197,0,0.908872843
c101_21_25.txt,123,9918.497236,0.846684694,2337.973459,0.989518404,6703.371997,0.954463482,4689.8449,0.962484598
c101_21_25.txt,123,8410.706866,0.864663839,6957.933953,0.934292793,6931.437218,0.884620905,0,0.954177618
c101_21_25.txt,123,5272.423091,1.059539795,7018.092579,0.896322012,11665.71807,0.947615623,4670.333212,1.170205116
c101_21_25.txt,123,8018.410026,0.777723789,14251.08525,1.35172677,6672.059702,0.928876877,1183.303399,1.443398237
c101_21_25.txt,123,7173.368815,0.85921073,4635.465998,0.888906717,3824.000666,0.896964073,4801.708549,0.941031218
c101_21_25.txt,123,11114.60022,0.842185259,5414.675043,0.86426425,12042.33597,0.963728905,5448.054481,0.888703823
c101_21_25.txt,123,4697.308856,1.044925928,4267.205597,0.887985468,4728.909762,1.014814377,6948.085343,0.888859987
c101_21_25.txt,123,4749.02434,0.820111513,7126.749779,0.964829206,10960.4294,1.178858042,4151.173348,1.172229052
c101_21_25.txt,123,7006.849768,0.990463972,2415.981473,0.945822477,12290.25342,0.946115255,8083.362024,1.101953506
c101_21_25.txt,123,6898.779364,0.808709621,6909.979992,0.933303595,7112.788404,0.888672829,13389.33063,0.983184576
c101_21_25.txt,123,6665.981736,0.792362928,10784.8738,0.935657263,10466.36289,0.944296122,8093.371988,1.15824461
c101_21_25.txt,123,7217.190341,0.830774784,10953.31197,0.989691973,4696.743543,0.90461421,4733.990487,0.902400017
c101_21_25.txt,123,0,0.842780352,4682.965522,1.128716469,10927.47533,0.9660151,0,2.519160032
c101_21_25.txt,123,4178.975573,0.821638823,1701.601301,0.953235388,2923.283381,0.967763424,5538.737256,2.669082165
c101_21_50.txt,123,8089.687575,2.427836895,7189.155809,2.599752665,0,2.524277925,0,2.475609779
c101_21_50.txt,123,8108.248168,2.445074558,1396.573528,3.078534365,8160.965823,2.470757723,2476.028811,2.536503792
c101_21_50.txt,123,0,2.384630203,0,2.508958817,0,2.529708624,7496.408975,2.532764912
c101_21_50.txt,123,7196.175578,2.549619198,0,2.449384212,0,2.48410821,0,2.495804548
c101_21_50.txt,123,0,2.37360096,14085.40371,3.393697977,0,2.441816807,7663.592506,2.490308046
c101_21_50.txt,123,0,2.365821362,0,2.468209505,0,2.485475302,0,2.437690973
c101_21_50.txt,123,0,2.445164919,0,2.47244668,0,2.511895895,4883.102819,3.821403027
c101_21_50.txt,123,9431.32192,2.501452684,0,2.76672411,7166.072486,2.434897423,4392.005507,2.471404076
c101_21_50.txt,123,5636.537827,2.460477591,0,2.605018139,0,2.52389884,0,8.582493067
c101_21_50.txt,123,0,2.411318302,2404.861636,3.838038206,2428.602158,2.564786434,4709.705502,8.916736841
c102_21_100.txt,123,3016.843796,11.31735229,12993.1788,9.574569702,11292.39535,9.854415417,5172.255886,9.154433727
c102_21_100.txt,123,9397.115545,8.608603477,5793.826915,8.825226068,0,8.463386774,3723.501155,8.593232155
c102_21_100.txt,123,8353.125763,8.903485537,9136.282264,9.13760829,5564.299929,8.813986778,7585.837053,8.700808764
c102_21_100.txt,123,3997.818269,9.051736593,11302.43597,8.858779669,3990.172319,9.690190554,10435.04592,8.561161518
c102_21_100.txt,123,3091.808102,8.909234047,8139.606424,8.692782164,9077.972265,9.353314877,10950.8754,8.857587576
c102_21_100.txt,123,5512.455252,8.60568738,4331.710726,8.709638357,0,8.342146397,8649.600992,8.712420702
c102_21_100.txt,123,7074.378996,8.439587593,9358.248974,8.519988775,3588.370962,9.485013247,0,8.418158531
c102_21_100.txt,123,3693.423748,10.29292893,7934.794119,8.960425377,10787.40811,9.129692793,8341.060382,8.565299511
c102_21_100.txt,123,9522.066004,12.91123843,14860.18889,8.77572751,11534.51408,11.63558078,8300.593188,0.96794486
c102_21_100.txt,123,4764.423167,8.277281284,6593.720976,8.542316914,6780.559833,10.81318188,7119.015452,0.942679882
c102_21_25.txt,123,10439.22461,0.849629164,6302.01409,0.889839411,14506.53074,0.933678627,9252.335503,0.981278896
c102_21_25.txt,123,7266.051003,0.854623318,14068.34683,1.177274227,7063.976512,0.951743603,7079.426878,1.080708265
c102_21_25.txt,123,7965.817945,0.918413877,7123.700804,0.93070817,10551.48583,1.001186132,10486.06679,0.919757843
c102_21_25.txt,123,8773.413453,0.839152336,10468.21758,0.999167442,4858.560622,0.932021379,9528.030894,0.918959141
c102_21_25.txt,123,8544.017005,0.868207216,10715.91998,0.921566486,8567.296088,0.934703827,10473.86836,0.997206926
c102_21_25.txt,123,9594.405839,0.911669493,4168.125527,0.971176386,9249.845102,0.923963785,12962.6494,0.859273434
c102_21_25.txt,123,8186.477783,2.844339132,8336.953219,0.962183714,10649.89475,1.18692565,10616.23184,1.0123353
c102_21_25.txt,123,10653.3358,0.880140543,12203.80046,0.982723475,8160.646176,0.994795799,6996.95449,0.974050045
c102_21_25.txt,123,8580.606931,0.913675785,8046.084665,0.96917963,9412.870076,0.916893959,0,2.482517242
c102_21_25.txt,123,9402.33707,0.860728502,10435.54,0.958629131,8441.471271,0.909993649,0,2.872574329
c102_21_50.txt,123,0,2.315010548,13865.96848,3.472932577,0,2.449754238,0,2.382093906
c102_21_50.txt,123,0,2.287712097,5702.731911,2.567232609,5572.525613,3.425059319,0,2.388118505
c102_21_50.txt,123,0,2.327997684,0,2.795096397,7535.270349,2.586069345,0,2.421824932
c102_21_50.txt,123,0,2.285858393,0,2.397626162,0,2.428854465,3943.029685,2.454961061
c102_21_50.txt,123,0,2.268518448,6409.074146,2.487441063,0,2.44943428,2010.888589,2.436863184
